,city,driver_count,type,date,fare,ride_id
0,Richardfort,38,Urban,2018-02-24 08:40:38,13.93,5628545007794
1,Richardfort,38,Urban,2018-02-13 12:46:07,14.0,910050116494
2,Richardfort,38,Urban,2018-02-16 13:52:19,17.92,820639054416
3,Richardfort,38,Urban,2018-02-01 20:18:28,10.26,9554935945413
4,Richardfort,38,Urban,2018-04-17 02:26:37,23.0,720020655850
5,Richardfort,38,Urban,2018-04-21 03:44:04,9.54,3698147103219
6,Richardfort,38,Urban,2018-02-03 00:14:26,29.04,4982665519010
7,Richardfort,38,Urban,2018-02-08 15:50:12,16.55,2270463070874
8,Richardfort,38,Urban,2018-04-03 15:07:34,40.77,9496210735824
9,Richardfort,38,Urban,2018-02-19 14:09:20,27.11,8690324801449
10,Richardfort,38,Urban,2018-04-22 03:06:56,39.74,4081388893008
11,Richardfort,38,Urban,2018-01-31 14:51:01,43.92,4066949857460
12,Richardfort,38,Urban,2018-03-04 22:13:57,14.83,9474112834050
13,Richardfort,38,Urban,2018-03-28 19:33:00,7.75,5539056178883
14,Richardfort,38,Urban,2018-02-14 03:27:28,44.11,2503858662225
15,Richardfort,38,Urban,2018-04-27 11:59:25,30.31,6106446829435
16,Richardfort,38,Urban,2018-03-03 11:57:24,11.42,2916078036620
17,Richardfort,38,Urban,2018-01-13 10:08:54,25.81,9110913538598
18,Richardfort,38,Urban,2018-03-06 12:53:05,8.28,5127600643309
19,Richardfort,38,Urban,2018-02-05 16:12:04,42.22,4051093040264
20,Richardfort,38,Urban,2018-04-04 15:04:56,16.35,6077906760851
21,Richardfort,38,Urban,2018-03-05 16:00:59,4.85,3291539624738
22,Richardfort,38,Urban,2018-04-14 11:56:28,43.01,7636011510547
23,Richardfort,38,Urban,2018-01-21 23:20:53,10.91,3567611375530
24,Richardfort,38,Urban,2018-03-16 23:00:51,21.39,237473464569
25,Richardfort,38,Urban,2018-03-22 04:41:04,16.35,5934239154720
26,Richardfort,38,Urban,2018-01-03 01:06:17,5.32,3268844473610
27,Richardfort,38,Urban,2018-03-29 15:16:01,37.76,4802688422688
28,Williamsstad,59,Urban,2018-01-23 17:51:24,19.62,125986195523
29,Williamsstad,59,Urban,2018-03-29 21:43:04,35.58,4747780858464
30,Williamsstad,59,Urban,2018-02-13 20:07:49,33.72,3796713212942
31,Williamsstad,59,Urban,2018-05-01 01:26:21,26.81,4542954169892
32,Williamsstad,59,Urban,2018-02-23 17:42:40,4.68,9109973457376
33,Williamsstad,59,Urban,2018-03-05 02:33:54,25.02,1313211827663
34,Williamsstad,59,Urban,2018-04-16 23:07:08,23.12,969457753191
35,Williamsstad,59,Urban,2018-03-12 01:39:41,18.67,2161825345900
36,Williamsstad,59,Urban,2018-04-12 12:30:28,17.57,7099676230210
37,Williamsstad,59,Urban,2018-02-21 10:56:41,4.9,7176452471538
38,Williamsstad,59,Urban,2018-04-16 16:21:54,32.43,7177820757193
39,Williamsstad,59,Urban,2018-02-22 04:25:41,20.56,5813755050580
40,Williamsstad,59,Urban,2018-05-06 12:39:09,40.79,8720870563338
41,Williamsstad,59,Urban,2018-01-06 20:14:54,43.5,2047847470762
42,Williamsstad,59,Urban,2018-03-25 16:07:22,42.93,2209997295019
43,Williamsstad,59,Urban,2018-04-26 04:18:46,18.92,1606397653905
44,Williamsstad,59,Urban,2018-04-21 23:26:52,26.99,8562558271094
45,Williamsstad,59,Urban,2018-04-01 17:37:03,16.83,1516898097903
46,Williamsstad,59,Urban,2018-05-06 19:34:45,26.43,8987900630211
47,Williamsstad,59,Urban,2018-01-20 18:47:43,18.79,5023157350397
48,Williamsstad,59,Urban,2018-01-03 10:03:19,17.16,28294640252
49,Williamsstad,59,Urban,2018-03-12 11:08:28,13.79,5771635421960
50,Williamsstad,59,Urban,2018-04-04 06:55:13,31.52,778427079687
51,Port Angela,67,Urban,2018-04-17 06:23:18,16.34,7120534266772
52,Port Angela,67,Urban,2018-03-31 15:22:26,30.77,662264490197
53,Port Angela,67,Urban,2018-04-09 14:34:27,11.9,7009806605900
54,Port Angela,67,Urban,2018-02-08 16:30:53,30.38,5165542108944
55,Port Angela,67,Urban,2018-03-04 03:26:39,40.35,4930810733132
56,Port Angela,67,Urban,2018-05-02 04:14:34,35.76,7945958687114
57,Port Angela,67,Urban,2018-04-22 16:43:04,7.91,6767308381142
58,Port Angela,67,Urban,2018-03-19 12:32:49,17.21,1694214658257
59,Port Angela,67,Urban,2018-04-15 23:02:22,20.16,6490089576161
60,Port Angela,67,Urban,2018-03-08 16:32:28,23.06,2750735754263
61,Port Angela,67,Urban,2018-02-26 10:01:46,28.52,6783567697046
62,Port Angela,67,Urban,2018-02-08 00:14:45,15.58,7388734438164
63,Port Angela,67,Urban,2018-02-06 07:07:55,24.47,1469816216996
64,Port Angela,67,Urban,2018-02-06 16:11:31,11.39,6108669570569
65,Port Angela,67,Urban,2018-02-14 13:00:19,42.04,896909208063
66,Port Angela,67,Urban,2018-03-10 19:24:17,43.18,1889756483447
67,Port Angela,67,Urban,2018-04-02 22:13:52,25.84,8022436129393
68,Port Angela,67,Urban,2018-02-03 06:01:25,6.42,9465215247151
69,Port Angela,67,Urban,2018-05-04 09:50:38,21.62,6302510153615
70,Rodneyfort,34,Urban,2018-02-10 23:22:03,23.44,5149245426178
71,Rodneyfort,34,Urban,2018-03-02 18:03:20,44.26,2494064867705
72,Rodneyfort,34,Urban,2018-02-03 00:48:41,44.86,2325699544245
73,Rodneyfort,34,Urban,2018-04-25 20:57:43,21.7,8534600667414
74,Rodneyfort,34,Urban,2018-01-30 12:34:42,16.99,5778730523049
75,Rodneyfort,34,Urban,2018-01-08 00:29:35,29.4,1184254566839
76,Rodneyfort,34,Urban,2018-02-08 07:35:04,30.02,2497021545678
77,Rodneyfort,34,Urban,2018-03-20 10:40:26,42.57,6354946184466
78,Rodneyfort,34,Urban,2018-05-06 22:21:58,27.16,3765495922622
79,Rodneyfort,34,Urban,2018-03-04 15:13:08,28.69,275697942784
80,Rodneyfort,34,Urban,2018-04-11 02:57:58,36.3,9048909984411
81,Rodneyfort,34,Urban,2018-03-10 05:23:50,29.13,4634913853499
82,Rodneyfort,34,Urban,2018-04-10 23:38:24,25.4,9060368477501
83,Rodneyfort,34,Urban,2018-03-07 23:37:32,7.78,2859632419166
84,Rodneyfort,34,Urban,2018-04-29 00:20:22,44.28,6979257207125
85,Rodneyfort,34,Urban,2018-04-12 23:29:11,27.81,5669400941983
86,Rodneyfort,34,Urban,2018-03-15 10:18:45,30.83,4175051895472
87,Rodneyfort,34,Urban,2018-05-05 03:19:39,22.24,5393286273394
88,Rodneyfort,34,Urban,2018-01-12 06:17:59,7.05,4239149293035
89,Rodneyfort,34,Urban,2018-01-11 14:18:07,23.21,3433717126379
90,Rodneyfort,34,Urban,2018-03-24 19:06:17,31.41,827420157387
91,Rodneyfort,34,Urban,2018-02-06 11:01:59,27.87,9791961135733
92,Rodneyfort,34,Urban,2018-04-19 09:46:19,35.79,9917197764299
93,West Robert,39,Urban,2018-02-15 04:21:47,12.28,1442502460354
94,West Robert,39,Urban,2018-04-05 03:18:56,44.58,4246011046064
95,West Robert,39,Urban,2018-01-21 17:21:50,27.11,1369907297609
96,West Robert,39,Urban,2018-04-13 06:56:12,32.94,9603611942427
97,West Robert,39,Urban,2018-01-04 06:10:40,35.35,9554287895527
98,West Robert,39,Urban,2018-05-05 05:18:46,10.15,9392183503517
99,West Robert,39,Urban,2018-03-24 15:21:54,34.9,9472333753457
100,West Robert,39,Urban,2018-01-11 11:10:10,5.16,1592591668312
101,West Robert,39,Urban,2018-03-07 15:57:52,12.22,2705603518423
102,West Robert,39,Urban,2018-05-04 04:36:23,5.36,9799481382484
103,West Robert,39,Urban,2018-03-06 06:10:01,22.86,2318924655908
104,West Robert,39,Urban,2018-04-12 08:17:16,32.48,7544372967170
105,West Robert,39,Urban,2018-02-23 19:46:33,33.24,3055026277315
106,West Robert,39,Urban,2018-04-07 06:17:04,40.69,502550639735
107,West Robert,39,Urban,2018-02-27 04:29:37,22.81,5714311770037
108,West Robert,39,Urban,2018-02-27 20:51:17,8.37,489896842800
109,West Robert,39,Urban,2018-01-17 04:56:17,12.71,8503432590634
110,West Robert,39,Urban,2018-03-07 06:32:50,4.28,2030781890598
111,West Robert,39,Urban,2018-02-09 05:16:40,26.1,18586563147
112,West Robert,39,Urban,2018-02-12 01:20:31,14.8,8061825242787
113,West Robert,39,Urban,2018-03-14 15:25:30,18.28,4582728938880
114,West Robert,39,Urban,2018-04-16 16:16:39,25.65,3598783489879
115,West Robert,39,Urban,2018-03-28 15:00:52,35.88,2845456872898
116,West Robert,39,Urban,2018-03-29 04:22:45,17.53,8336695194192
117,West Robert,39,Urban,2018-01-30 11:32:45,43.02,7200177034430
118,West Robert,39,Urban,2018-02-01 11:37:56,30.94,218488354366
119,West Robert,39,Urban,2018-03-16 16:27:00,42.89,3371305205863
120,West Robert,39,Urban,2018-02-18 11:51:18,44.97,341568099144
121,West Robert,39,Urban,2018-02-19 00:53:54,40.64,5090000920328
122,West Robert,39,Urban,2018-01-15 08:14:17,33.91,2161158839398
123,West Robert,39,Urban,2018-03-10 20:00:35,6.74,6675182507896
124,West Anthony,70,Urban,2018-03-06 02:27:01,10.02,9396763280782
125,West Anthony,70,Urban,2018-01-23 12:32:46,23.24,596601397101
126,West Anthony,70,Urban,2018-02-24 06:14:16,39.2,8491405671407
127,West Anthony,70,Urban,2018-03-17 00:30:34,35.42,4561324147940
128,West Anthony,70,Urban,2018-01-10 02:31:33,32.34,1479317039864
129,West Anthony,70,Urban,2018-04-29 01:12:26,27.04,4375353573218
130,West Anthony,70,Urban,2018-04-15 11:02:50,43.82,4381502138184
131,West Anthony,70,Urban,2018-04-03 02:42:50,10.56,3762871811396
132,West Anthony,70,Urban,2018-04-20 20:13:28,11.85,4274669968599
133,West Anthony,70,Urban,2018-02-19 22:53:02,27.9,4267516319637
134,West Anthony,70,Urban,2018-03-03 00:24:33,20.71,7550332627602
135,West Anthony,70,Urban,2018-02-04 15:04:43,20.09,4221519670218
136,West Anthony,70,Urban,2018-01-12 19:38:06,37.66,410252345130
137,West Anthony,70,Urban,2018-04-16 01:06:17,17.47,5706560548659
138,West Anthony,70,Urban,2018-05-01 17:43:35,23.76,2929352162502
139,West Anthony,70,Urban,2018-02-11 05:48:29,15.55,5988409590665
140,West Anthony,70,Urban,2018-03-21 01:28:48,15.64,4746854764335
141,West Anthony,70,Urban,2018-03-13 08:03:10,5.03,1178018593506
142,West Anthony,70,Urban,2018-05-03 04:49:15,21.38,9172650498634
143,West Anthony,70,Urban,2018-04-22 08:14:31,19.95,1212046132747
144,West Anthony,70,Urban,2018-04-03 01:47:34,31.6,4965334251077
145,West Anthony,70,Urban,2018-04-06 02:25:24,14.3,7571962911640
146,West Anthony,70,Urban,2018-02-07 16:55:49,33.51,4163116879444
147,West Anthony,70,Urban,2018-03-11 12:23:09,41.37,1133824003625
148,West Anthony,70,Urban,2018-04-18 23:10:20,31.16,8478263285526
149,West Anthony,70,Urban,2018-04-08 06:21:07,20.83,9582303999416
150,West Anthony,70,Urban,2018-02-10 09:16:50,38.54,8950008238108
151,West Anthony,70,Urban,2018-02-03 18:24:31,19.66,2909279162533
152,West Anthony,70,Urban,2018-04-18 08:11:39,11.2,3221735036264
153,West Anthony,70,Urban,2018-03-08 10:33:27,41.3,1154693699214
154,West Angela,48,Urban,2018-01-12 01:45:27,26.86,4820052223501
